Food_Item,Calories,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Meal_Type
cooking wine,2,0.0,0.0,0.0,0.0,0.3,0.09,0.028,0.0,0.0,0.002,4.4,0.0,0.0,0.077,0.0,0.016,0.094,0.0,0.072,0.0,0.0,0.0,0.0,0.4,0.021,0.1,0.5,0.0,0.7,4.3,0.079,0.085,0.879,Low
chardonnay white wine,168,0.0,0.0,0.0,0.0,4.3,1.9,0.1,0.0,0.0,0.027,173.7,0.0,0.092,0.002,0.0,0.039,0.2,0.09,0.1,0.0,0.0,0.0,0.0,18.0,0.054,0.5,20.0,0.2,36.0,142.0,0.017,0.2,22.9,Low
claret red wine,122,0.0,0.0,0.0,0.0,4.4,0.0,0.1,5.5,0.0,0.0,0.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5,High
rice sake,197,0.0,0.0,0.0,0.0,7.4,0.0,0.7,0.0,0.0,0.046,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.051,0.1,8.8,0.0,8.8,36.8,0.057,0.092,15.6,Low
fume blanc white wine,121,0.0,0.0,0.0,0.0,3.3,0.0,0.1,5.5,0.0,0.0,0.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.7,High
cabarnet franc red wine,122,0.0,0.0,0.0,0.0,3.6,0.0,0.1,0.0,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,Low
chocolate frosting,81,3.6,1.1,1.8,0.5,13.0,8.0,0.2,0.2,0.0,0.025,3.5,0.0,0.026,0.069,0.0,0.097,0.024,0.005,0.085,0.0,0.0,0.3,0.0,1.6,0.045,0.3,4.3,0.064,16.2,40.2,0.094,0.062,18.9,Low
white sugar,19,0.0,0.0,0.0,0.0,5.0,4.9,0.0,0.0,0.0,0.012,0.021,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.078,0.078,0.0,0.081,0.0,0.1,0.026,0.05,5.037,Low
egg substitute,115,0.0,0.0,0.0,0.0,4.8,4.8,24.0,0.0,0.0,0.5,208.8,0.0,0.3,0.065,0.039,0.4865,0.3,1.9280000000000002,0.3,1.2,0.0,0.75,0.063,119.5375,0.07,4.35,36.0,0.002,172.8,511.2,0.017,2.4,210.0,High
agave syrup,21,0.081,0.0,0.0,0.0,5.3,4.7,0.025,0.01,0.0,0.09,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.071,0.042,0.034,0.049,0.009,0.3,0.0,0.008,5.456,Low
splenda sweetener,336,0.0,0.0,0.0,0.0,61.81249999999999,8.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,91.2,Medium
vanilla extract,12,0.069,0.003,0.06,0.001,0.5,0.5,0.0,0.0,0.0,0.061,2.2,0.0,0.041,0.0,0.0,0.083,0.002,0.039,0.079,0.0,0.0,0.0,0.0,0.5,0.03,0.019,0.5,0.066,0.3,6.2,0.0,0.065,1.213,Low
egg yolk dried,27,2.3,0.7,0.9,0.4,0.054,0.002,1.3,0.0,65.9375,0.071,0.1,0.01,0.041,0.036,0.092,0.025,0.065,0.4,0.078,0.0,0.0,0.2,0.074,12.3,0.015,0.4,1.0,0.071,41.6,10.6,0.098,0.3,16.368,Low
granulated sugar,16,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,0.0,0.019,0.055,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.034,0.01,0.0,0.067,0.0,0.033,0.093,0.05,4.253,Low
